Year,Car,Motorcycle,Light rigid,Medium rigid,Heavy rigid,Heavy combination,Multi combination
Full licence,,,,,,,
30-Jun-13,13 346 730,2 009 438, 240 986, 424 436, 903 212, 457 788, 141 647
30-Jun-14,13 540 617,2 049 663, 248 440, 427 587, 906 534, 449 182, 148 814
30-Jun-15,13 733 623,2 090 722, 254 219, 430 745, 911 634, 440 836, 155 337
30-Jun-16,14 015 797,2 195 638, 258 041, 436 444, 920 556, 434 354, 161 634
30-Jun-17,14 264 152,2 176 451, 261 356, 601 705, 765 492, 428 943, 167 489
30-Jun-18,14 571 862,2 198 312, 265 133, 441 868, 937 495, 423 114, 173 296
30-Jun-19,14 270 317,2 217 099, 268 140, 445 193, 947 150, 417 123, 178 807
30-Jun-20,14 613 736,2 249 176, 273 182, 447 032, 956 862, 410 203, 185 781
30-Jun-21,14 889 519,2 268 590, 275 312, 446 604, 965 209, 402 195, 194 320
30-Jun-22,15 151 082,2 292 632, 277 037, 448 067, 974 235, 395 625, 203 086
30-Jun-23,15 435 110,2 313 760, 279 621, 449 152, 989 795, 388 948, 210 915
30-Jun-24,15 817 103,2 340 417, 281 688, 450 633,1 009 249, 382 582, 219 194
Provisional licence,,,,,,,
30-Jun-13,1 063 920, 51 396,545, 4 775, 4 261,828,544
30-Jun-14,1 080 282, 53 358,514, 4 760, 4 483,862,604
30-Jun-15,1 084 380, 53 795,485, 4 535, 4 546,810,573
30-Jun-16,1 115 507, 53 425,463, 4 465, 4 682,758,703
30-Jun-17,1 135 962, 51 303,463, 4 413, 4 786,782,662
30-Jun-18,1 117 076, 46 995,423, 4 065, 4 549,760,636
30-Jun-19,1 078 251, 46 403,391, 3 847, 4 389,701,657
30-Jun-20,1 005 046, 44 329,332, 3 411, 4 137,646,670
30-Jun-21,1 053 289, 45 177,335, 3 265, 4 086,616,596
30-Jun-22,1 053 165, 44 149,339, 3 318, 4 044,620,616
30-Jun-23,1 110 678, 44 151,392, 3 578, 4 703,613,674
30-Jun-24,1 135 307, 44 918,378, 3 929, 5 032,581,688
L Permits,,,,,,,
30-Jun-13, 935 000, 239 077, 1 405, 2 310, 17 223, 2 398, 2 482
30-Jun-14, 943 736, 240 138, 1 378, 2 179, 16 412, 2 248, 2 472
30-Jun-15, 953 118, 237 905, 1 260, 2 164, 14 290, 2 080, 2 414
30-Jun-16, 959 435, 238 996, 1 279, 2 017, 11 104, 1 688, 1 974
30-Jun-17, 971 082, 231 618, 1 279, 1 949, 8 326, 1 322, 1 504
30-Jun-18, 997 638, 226 797, 1 226, 1 939, 6 198, 1 080, 1 058
30-Jun-19, 996 508, 226 402, 1 224, 1 962, 5 231,916,842
30-Jun-20,1 030 073, 228 659, 1 189, 1 960, 4 383,824,684
30-Jun-21,1 034 847, 239 348, 1 183, 1 851, 3 585,825,575
30-Jun-22,1 082 692, 239 280, 1 259, 1 947, 3 310,744,546
30-Jun-23,1 119 034, 231 038, 1 292, 1 923, 3 239,776,513
30-Jun-24,1 184 243, 229 835, 1 303, 1 814, 3 043,767,492
